"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
23,2,4,1,1,3,2,5,4,2,3,2,2,1,4,"Spanish","No","Not employed",NA,"Single, never married, not living with a life partner","Female","35 to 44","Less than $20,000",0,"No","2","4","Strongly Disagree","Strongly Disagree","3","2","5","4","2","3","2","2"
24,4,1,2,2,4,1,2,3,1,2,6,1,3,1,"English","No","Not employed","Bachelor's degree","Living common law","Male","24 or younger","$30000 to $39999",0,"No","4","Strongly Disagree","2","2","4","Strongly Disagree","2","3","Strongly Disagree","2","6","Strongly Disagree"
25,3,3,2,1,2,1,1,1,3,4,3,1,1,1,"English","No","Not employed","High school diploma or certificate","Married","Male","24 or younger","$70000 to $79999",0,"No","3","3","2","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","4","3","Strongly Disagree"
26,1,1,1,1,2,1,1,1,1,2,1,2,1,1,"English","No","Fully employed","Bachelor's degree","Living common law","Female","35 to 44","$20000 to $29999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","2"
27,1,1,2,1,1,1,1,1,3,3,1,1,2,1,"French","No","Fully employed","trades certificate","Living common law","Female","24 or younger","$60000 to $69999",0,"No","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","3","Strongly Disagree","Strongly Disagree"
28,4,1,2,1,1,1,1,1,2,3,1,1,1,1,"English","No",NA,"trades certificate",NA,NA,"75 to 84","$20000 to $29999",0,"No","4","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","3","Strongly Disagree","Strongly Disagree"
29,4,1,1,1,1,1,1,1,3,1,2,1,1,2,"English","No","Employed part-time","High school diploma or certificate","Married","Male","55 to 64","$20000 to $29999",0,"No","4","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2","Strongly Disagree"
30,1,1,1,1,1,2,1,1,1,2,1,2,1,1,"English","No","Fully employed","High school diploma or certificate","Living common law","Female",NA,"$70000 to $79999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","2"
31,4,2,2,2,1,1,1,2,8,4,4,6,3,3,"English","No","Not employed","No certificate, diploma or degree","Living common law","Female","35 to 44","$20000 to $29999",0,"No","4","2","2","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","8","4","4","6"
32,5,2,2,1,1,2,5,1,2,6,5,4,1,1,"English","No","Employed part-time","High school diploma or certificate","Married","Female","45 to 54","$30000 to $39999",0,"No","5","2","2","Strongly Disagree","Strongly Disagree","2","5","Strongly Disagree","2","6","5","4"
33,4,1,1,1,3,3,1,2,3,3,1,3,2,2,"French","No","Not employed","Bachelor's degree","Married","Male","24 or younger","$80000 to $89999",0,"No","4","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","3","Strongly Disagree","2","3","3","Strongly Disagree","3"
34,1,1,1,1,4,2,1,1,1,5,2,1,5,1,"English","No","Fully employed","Bachelor's degree","Married","Male","35 to 44","$40000 to $49999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","5","2","Strongly Disagree"
35,3,1,1,1,4,4,2,3,3,3,4,4,1,1,NA,"Yes","Employed part-time","University certificate above bachelor's degree","Living common law","Female","45 to 54","$200,000 or more",0,"No","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","4","2","3","3","3","4","4"
36,5,4,3,4,5,7,4,4,1,6,2,3,2,5,"English","Yes","Employed part-time","University certificate above bachelor's degree",NA,"Male","45 to 54","$40000 to $49999",0,"No","5","4","3","4","5","7","4","4","Strongly Disagree","6","2","3"
37,1,1,2,1,3,1,1,1,1,1,2,2,1,1,"French","No","Fully employed","University certificate above bachelor's degree","Married","Male","65 to 74","$50000 to $59999",0,"No","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","2"
38,4,1,2,2,1,3,3,2,2,4,3,3,3,1,"Spanish","No","Not employed","College diploma","Married","Female","45 to 54","$70000 to $79999",0,"No","4","Strongly Disagree","2","2","Strongly Disagree","3","3","2","2","4","3","3"
39,4,1,3,2,1,1,1,1,3,3,4,2,1,1,"Spanish","No","Fully employed","trades certificate","Living common law","Female","65 to 74","$150,000 to $174,999",0,"No","4","Strongly Disagree","3","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","3","4","2"
40,1,1,1,1,2,2,1,2,2,2,4,2,2,1,"English",NA,"Employed part-time","No certificate, diploma or degree","Divorced, not living with a life partner","Female","55 to 64","$30000 to $39999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","2","Strongly Disagree","2","2","2","4","2"
41,1,2,1,1,3,3,1,1,1,2,2,4,3,1,"French",NA,"Fully employed","No certificate, diploma or degree","Married","Female","45 to 54","$60000 to $69999",0,"No","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","3","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","2","4"
42,1,1,3,1,1,1,1,2,1,2,1,1,1,1,"English","No","Not employed","University certificate above bachelor's degree","Single, never married, not living with a life partner","Male","24 or younger","$40000 to $49999",0,"No","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","2","Strongly Disagree","Strongly Disagree"
43,1,2,1,1,1,1,1,1,2,1,2,2,2,1,"English","No","Fully employed",NA,"Married","Female","65 to 74","$60000 to $69999",0,"No","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","2","2"
44,1,1,2,1,3,2,2,4,2,1,3,2,1,2,"Spanish","No","Employed part-time",NA,"Married","Female","55 to 64","$30000 to $39999",0,"No","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","3","2","2","4","2","Strongly Disagree","3","2"
45,1,1,1,1,1,1,3,1,1,2,5,5,1,2,"Spanish","No","Not employed","College diploma","Living common law","Male","75 to 84","$80000 to $89999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","2","5","5"
46,1,1,1,1,1,1,1,1,4,2,4,1,2,2,"English","No","Employed part-time",NA,"Married","Female","45 to 54","$20000 to $29999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","2","4","Strongly Disagree"
47,1,1,1,1,1,1,1,1,1,3,1,2,1,1,"English","No","Not employed","No certificate, diploma or degree","Married",NA,"24 or younger",NA,0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2"
48,5,1,3,1,3,3,2,5,4,4,3,3,5,3,"English","No","Fully employed",NA,"Married","Female","45 to 54","$20000 to $29999",0,"No","5","Strongly Disagree","3","Strongly Disagree","3","3","2","5","4","4","3","3"
49,1,1,1,1,4,1,1,2,1,4,1,1,1,1,"French",NA,"Fully employed","Medical degree","Married","Male","65 to 74",NA,0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","4","Strongly Disagree","Strongly Disagree"
50,6,3,1,1,5,2,5,4,2,5,2,5,4,1,"English","Yes","Employed part-time","College diploma","Married","Female","75 to 84","$20000 to $29999",0,"No","6","3","Strongly Disagree","Strongly Disagree","5","2","5","4","2","5","2","5"
51,9,9,9,9,9,8,9,9,9,9,9,9,9,9,"French","No","Employed part-time","Bachelor's degree","Living common law","Female","25 to 34","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
52,8,7,5,7,7,6,4,9,8,9,9,9,7,5,NA,"Yes","Not employed","Bachelor's degree","Married","Female","55 to 64","$90000 to $99999",1,"Yes","8","7","5","7","7","6","4","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
53,7,6,7,6,5,5,6,7,5,7,4,7,4,5,"English","Yes","Employed part-time","College diploma","Married","Male","65 to 74","$30000 to $39999",0,"No","7","6","7","6","5","5","6","7","5","7","4","7"
54,7,7,6,6,7,7,7,9,9,9,9,9,9,6,"Spanish","Yes",NA,"College diploma","Widowed","Female","25 to 34","$150,000 to $174,999",1,"Yes","7","7","6","6","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
55,8,8,8,6,4,6,4,9,9,8,7,8,9,6,"English","No","Fully employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Female","24 or younger","$30000 to $39999",0,"No","8","8","8","6","4","6","4","Strongly Agree","Strongly Agree","8","7","8"
56,8,8,6,5,8,5,7,8,8,6,8,6,5,5,"English","No","Employed part-time","Bachelor's degree","Living common law","Male","75 to 84","$70000 to $79999",1,"Yes","8","8","6","5","8","5","7","8","8","6","8","6"
57,9,8,9,9,9,9,8,8,9,9,9,9,9,9,"English",NA,"Not employed",NA,"Living common law","Female","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
58,6,7,9,7,9,9,7,8,9,6,6,9,8,6,"French","No","Not employed","College diploma","Married","Male","35 to 44",NA,0,"No","6","7","Strongly Agree","7","Strongly Agree","Strongly Agree","7","8","Strongly Agree","6","6","Strongly Agree"
59,7,8,7,6,6,5,4,8,7,8,6,4,5,6,"French","Yes","Employed part-time","College diploma","Married","Male","75 to 84","$30000 to $39999",0,"No","7","8","7","6","6","5","4","8","7","8","6","4"
60,8,7,6,5,9,8,8,9,9,9,9,9,7,7,"Spanish","No","Not employed","Earned doctorate","Widowed",NA,"24 or younger","$70000 to $79999",0,"No","8","7","6","5","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
61,9,9,9,7,9,9,8,9,9,9,9,9,9,5,"Italian","No","Fully employed","No certificate, diploma or degree","Separated, not living with a life partner","Female","55 to 64","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
62,8,6,7,5,7,7,6,7,9,9,9,9,8,6,NA,"No","Not employed","University certificate above bachelor's degree","Married","Female","65 to 74","$60000 to $69999",0,"No","8","6","7","5","7","7","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
63,8,7,7,8,9,9,8,9,9,8,8,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","65 to 74","$20000 to $29999",1,"Yes","8","7","7","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","8","Strongly Agree"
64,8,4,9,6,8,7,7,7,8,8,7,9,7,6,"Spanish","No","Fully employed","Bachelor's degree","Married","Male","45 to 54","$175,000 to $199,999,",0,"No","8","4","Strongly Agree","6","8","7","7","7","8","8","7","Strongly Agree"
65,9,8,9,8,9,7,9,7,3,9,9,9,9,8,"English","No","Employed part-time","Master's degree",NA,"Male","65 to 74","$50000 to $59999",1,"Yes","Strongly Agree","8","Strongly Agree","8","Strongly Agree","7","Strongly Agree","7","3","Strongly Agree","Strongly Agree","Strongly Agree"
66,6,7,4,7,8,7,9,8,9,9,9,9,9,7,"English","No","Not employed","Bachelor's degree","Widowed","Male","45 to 54","$30000 to $39999",1,"Yes","6","7","4","7","8","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
67,8,7,5,4,9,9,9,8,9,8,8,9,9,8,"Spanish","No","Fully employed","High school diploma or certificate","Married","Female","65 to 74","$175,000 to $199,999,",1,"Yes","8","7","5","4","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","8","Strongly Agree"
68,7,6,8,7,7,6,7,9,6,6,8,7,4,6,"Spanish","No","Fully employed","trades certificate","Married","Female","45 to 54","$40000 to $49999",1,"Yes","7","6","8","7","7","6","7","Strongly Agree","6","6","8","7"
69,9,9,7,8,8,9,8,9,8,9,9,9,9,9,"French","Yes","Employed part-time","College diploma","Divorced, not living with a life partner",NA,"25 to 34","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","7","8","8","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
70,9,5,7,7,9,8,6,6,9,9,9,9,9,7,"Italian","No","Not employed","High school diploma or certificate",NA,"Female","55 to 64",NA,1,"Yes","Strongly Agree","5","7","7","Strongly Agree","8","6","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
71,9,5,6,8,9,9,9,9,9,7,9,6,9,9,"Spanish","Yes","Fully employed","High school diploma or certificate","Married","Female","35 to 44","$30000 to $39999",1,"Yes","Strongly Agree","5","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","6"
72,8,9,9,5,9,7,9,8,7,9,7,9,8,9,"Spanish","No",NA,"College diploma","Widowed","Female","65 to 74","$60000 to $69999",1,"Yes","8","Strongly Agree","Strongly Agree","5","Strongly Agree","7","Strongly Agree","8","7","Strongly Agree","7","Strongly Agree"
73,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","Bachelor's degree",NA,"Female","25 to 34","$150,000 to $174,999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
74,6,5,6,6,4,5,6,6,5,6,6,5,5,7,"French","No","Fully employed","University certificate below bachelor level","Married","Female","65 to 74","$175,000 to $199,999,",0,"No","6","5","6","6","4","5","6","6","5","6","6","5"
75,9,9,8,9,9,9,9,9,9,9,9,8,9,8,"Italian","No","Employed part-time","trades certificate","Married","Male",NA,"$175,000 to $199,999,",1,"Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
76,7,5,4,5,4,6,4,7,9,8,8,9,8,5,NA,"No","Fully employed","Master's degree","Living common law","Male","35 to 44","$60000 to $69999",0,"No","7","5","4","5","4","6","4","7","Strongly Agree","8","8","Strongly Agree"
77,9,9,9,8,7,9,7,7,9,9,9,9,8,8,"English","No","Fully employed",NA,"Married","Female","75 to 84","$150,000 to $174,999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
78,7,4,5,5,9,9,7,6,9,8,9,8,6,5,"Spanish","Yes","Employed part-time","University certificate above bachelor's degree","Married","Male","55 to 64","$100000 to $149999",0,"No","7","4","5","5","Strongly Agree","Strongly Agree","7","6","Strongly Agree","8","Strongly Agree","8"
79,9,7,6,6,9,9,8,9,9,9,7,9,8,8,"English","No","Not employed","High school diploma or certificate","Married","Female","35 to 44","$40000 to $49999",0,"No","Strongly Agree","7","6","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
80,7,6,6,8,9,8,9,7,9,9,9,9,9,4,"French","No","Not employed","High school diploma or certificate","Separated, not living with a life partner","Female","75 to 84","$150,000 to $174,999",0,"No","7","6","6","8","Strongly Agree","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
81,8,5,5,6,6,6,8,7,6,7,7,7,8,9,"Spanish","No","Fully employed",NA,"Married","Female","75 to 84","$70000 to $79999",0,"No","8","5","5","6","6","6","8","7","6","7","7","7"
82,9,5,2,7,8,9,5,7,8,7,6,7,7,7,"English","Yes",NA,"High school diploma or certificate","Living common law","Female","45 to 54","$150,000 to $174,999",0,"No","Strongly Agree","5","2","7","8","Strongly Agree","5","7","8","7","6","7"
83,9,9,7,8,9,9,9,9,8,9,9,9,8,9,"Spanish","No","Fully employed","No certificate, diploma or degree","Separated, not living with a life partner","Male","45 to 54","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
84,7,5,6,4,8,9,8,8,9,7,9,9,4,3,"Spanish","No","Employed part-time","High school diploma or certificate","Married","Female","25 to 34","$175,000 to $199,999,",1,"Yes","7","5","6","4","8","Strongly Agree","8","8","Strongly Agree","7","Strongly Agree","Strongly Agree"
85,8,9,8,7,9,7,8,8,9,9,9,9,9,7,"Spanish","No","Fully employed","trades certificate","Separated, not living with a life partner","Male","45 to 54","$40000 to $49999",1,"Yes","8","Strongly Agree","8","7","Strongly Agree","7","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
86,9,9,7,8,9,8,9,9,9,9,9,9,9,8,"Italian",NA,"Not employed","High school diploma or certificate","Single, never married, not living with a life partner","Female",NA,"$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
87,9,8,9,9,8,9,9,9,9,9,9,9,9,8,NA,"No",NA,"No certificate, diploma or degree","Living common law","Male","45 to 54",NA,1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
88,8,7,9,5,9,9,9,9,8,9,9,9,9,7,"English","No","Not employed","High school diploma or certificate","Married","Female","24 or younger","$30000 to $39999",1,"Yes","8","7","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
89,7,3,5,5,4,3,5,4,9,7,7,4,7,3,NA,"No","Not employed","Bachelor's degree","Married",NA,"45 to 54","$30000 to $39999",0,"No","7","3","5","5","4","3","5","4","Strongly Agree","7","7","4"
90,8,9,9,7,8,8,7,8,9,9,9,9,8,9,"English","No","Fully employed","Master's degree","Living common law","Female","75 to 84","$50000 to $59999",1,"Yes","8","Strongly Agree","Strongly Agree","7","8","8","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
91,9,6,8,7,9,7,8,9,9,9,8,9,9,8,"Italian","No","Employed part-time","College diploma","Living common law","Female","24 or younger","$80000 to $89999",1,"Yes","Strongly Agree","6","8","7","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
92,9,5,4,5,9,7,6,4,5,6,8,7,9,8,"English","No","Employed part-time",NA,"Living common law","Female",NA,"$60000 to $69999",1,"Yes","Strongly Agree","5","4","5","Strongly Agree","7","6","4","5","6","8","7"
93,9,7,7,8,6,9,9,7,7,9,9,9,9,4,"English",NA,"Not employed","Bachelor's degree","Divorced, not living with a life partner","Female",NA,"$60000 to $69999",0,"No","Strongly Agree","7","7","8","6","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree"
94,9,7,8,9,9,7,9,7,9,9,9,9,9,7,"English",NA,NA,"High school diploma or certificate","Single, never married, not living with a life partner","Male","24 or younger","$100000 to $149999",1,"Yes","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
95,9,9,9,8,9,9,9,9,9,9,9,9,9,8,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","55 to 64","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
